Restaurant ID,Name,Type of Restaurant,Trip Advisor Rating,TA Review Count,Yellow Pages Rating,YP Review Count,Phone Number,Street Address,Locality,Zipcode,Dollar Costs,Years in Business,Website,Menu URL,Secondary Info,Order Online Status
11,Butcher & Banker NYC,"['Restaurants', 'Steak Houses', 'American Restaurants']",4.0,146.0,,,(212) 268-8455,481 8th Ave Vault Level,"New York City, NY 10001",10001,Fine Dining,,http://www.butcherandbankernyc.com,http://yellowpages.com/new-york-city-ny/mip/butcher-banker-nyc-542203703#open-menu,From Business: Beneath the pulsing city lies a hidden dining destination. Steaks from the finest Black Angus cattle. Bespoke cocktails. A restored Bank Vault from the 1930s.…,1
12,Oceana Restaurant,"['Restaurants', 'Mediterranean Restaurants', 'Seafood Restaurants']",4.5,1208.0,,,(212) 759-5941,120 W 49th Street Between 6th And 7th Avenue,"New York City, NY 10020",10020,Unknown,40.0,http://www.oceanarestaurant.com,,"From Business: Under the guidance of the Livanos family and Co-Owner Paul McLaughlin, Oceana has provided New Yorkers with an exceptional seafood destination since 1992.…",0
13,Sushi Star,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",4.5,18.0,,,(212) 279-1010,462 9th Ave Between 35th & 36th Street,"New York City, NY 10018",10018,Unknown,,http://www.sushistar.com,,"From Business: At Sushi Star, we don't compromise. We believe that high quality sushi should be available whether you're on-the-go, dining in, or getting delivery. All of our…",0
14,Blue Ribbon Sushi Bar - Rock Center,"['Restaurants', 'Sushi Bars', 'Take Out Restaurants']",4.0,18.0,,,(212) 937-0204,30 Rockefeller Plaza Concourse Level Space R,"New York City, NY 10112",10112,Moderate,10.0,https://www.blueribbonsushibar.com,http://yellowpages.com/new-york-city-ny/mip/blue-ribbon-sushi-bar-rock-center-538992158#open-menu,From Business: Sushi Bar offering New York City's finest sushi with options varying from Omakase to sushi by the piece and customizable bento bowls. Blue Ribbon Sushi Bar…,0
15,Down The Road Pub,"['Restaurants', 'American Restaurants']",4.5,7.0,,,(917) 472-7799,683 9th Ave Corner Of 47th Street,"New York City, NY 10036",10036,Unknown,,http://downtheroadpub.com,,"From Business: Down The Road Sports Bar is a friendly neighborhood bar welcoming everyone in for a good drink, food and to watch all your sports. We cover everything from MLB…",0
16,FIELDTRIP Rockefeller Center,"['Restaurants', 'American Restaurants', 'Health Food Restaurants']",5.0,1.0,,,(646) 669-8595,30 Rockefeller Plaza Concourse Level,"New York City, NY 10112",10112,Unknown,,http://www.fieldtripnyc.com,,"From Business: FIELDTRIP is a black-owned restaurant in Rockefeller Center, New York City, NY. We offer a sustainable menu of international flavors that was curated by Chef JJ.…",0
17,Morgan Cafe,"['Restaurants', 'American Restaurants']",4.0,94.0,,,(212) 683-2130,225 Madison Ave The Morgan Library & Museum,"New York City, NY 10016",10016,Unknown,,http://www.themorgan.org/visit/dining,,"From Business: The Morgan Dining Room's menu draws inspiration from early-twentieth-century New York City cuisine. Guests dine in the original Morgan family dining room,…",0
18,T.G.I. Friday's,"['Restaurants', 'American Restaurants', 'Take Out Restaurants']",2.5,397.0,,,(212) 630-0307,484 8th Ave 34th St,"New York City, NY 10001",10001,Unknown,,http://www.tgifridays.com,,"From Business: T.G.I. Friday s, founded in 1965, is a chain of full-service restaurants with worldwide locations that offers a variety of specialty food and beverages. It is a…",0
19,Black Iron Burger,"['Restaurants', 'American Restaurants', 'Bars']",5.0,2.0,,,(646) 747-0814,230 Park Ave Corner 45th St & Vanderbilt Ave,"New York City, NY 10169",10169,Affordable,,http://www.blackironburger.com,http://yellowpages.com/new-york-city-ny/mip/black-iron-burger-551055165#open-menu,"From Business: At Black Iron Burger, nobody beats our meat. Crafted in-house with amazing flavors, our commitment is to always use the highest quality, fresh ingredients, and…",0
20,Hell's Kitchen,"['Restaurants', 'American Restaurants', 'Night Clubs']",4.5,391.0,,,(212) 977-1588,754 9th Ave At 51st Street,"New York City, NY 10019",10019,Unknown,,http://www.hellskitchen-nyc.com,,"From Business: A staple in its' namesake neighborhood for 17 years, Hell's Kitchen is a favorite 'go to' spot for pre & post theatre, meeting up with friends after work, or to…",0
21,Turkuaz Fine Turkish Cuisine,"['Restaurants', 'Mediterranean Restaurants', 'Bars']",4.0,111.0,,,(212) 265-5500,310 W 53rd St Between 8th And 9th Avenues,"New York City, NY 10019",10019,Moderate,,http://www.turkuazrestaurant.com,http://yellowpages.com/new-york-city-ny/mip/turkuaz-fine-turkish-cuisine-546886683#open-menu,From Business: Turkuaz takes its name from the turquoise colored sea in Turkey and Mediterranean and brings both a culinary experience and an ethnic one to NYC. We started…,1
22,Estiatorio Milos,"['Restaurants', 'Seafood Restaurants', 'Greek Restaurants']",4.5,98.0,,,(646) 907-1970,20 Hudson Yards Hudson Yards 5th Floor,"New York City, NY 10001",10001,Moderate,,http://www.estiatoriomilos.com,http://yellowpages.com/new-york-city-ny/mip/estiatorio-milos-549184556#open-menu,From Business: Estiatorio Milos offers its guests a stunning new location in New York City. The Greek restaurant offers unparalleled views of the Hudson River and the Vessel at…,0
23,Osamil,"['Restaurants', 'Korean Restaurants', 'Asian Restaurants']",4.5,73.0,,,(212) 300-4713,5 W 31st St 1fl. Bet 5th Ave - Broadway,"New York City, NY 10001",10001,Moderate,,http://www.osamil.com,http://yellowpages.com/new-york-city-ny/mip/osamil-530575360#open-menu,"From Business: Our name derives from the Korean translation of our address, 5 west 31st street. 5- Oh, 3- Sam, 1-il. The space consists of a large open bar, an open kitchen,…",0
24,Spoon Table and Bar,"['Restaurants', 'American Restaurants', 'Caterers']",4.0,77.0,,,(646) 230-7000,40 E 33rd St Between Madison And Park Ave,"New York City, NY 10016",10016,Unknown,,http://www.spoonnyc.com,,"From Business: Spoon Table & Bar is located in the Murray Hill area. We are a full-service restaurant and bar with an upscale take on comfort food, comprehensive cocktail list,…",0
25,Puff Cha Cafe,"['Restaurants', 'Thai Restaurants', 'Japanese Restaurants']",4.5,31.0,,,(646) 682-7768,457 50 St Bet 9ave & 10 Ave,"New York City, NY 10019",10019,Moderate,,,http://yellowpages.com/new-york-city-ny/mip/puff-cha-cafe-495351645#open-menu,"From Business: Puff Cha Ramen brings something new to NYC with homemade curry puffs, the first in the USA! Combined with 20+ kinds of noodles, what's not to enjoy?Curry Puffs…",0
26,North River Lobster Company,"['Restaurants', 'Seafood Restaurants', 'Bars']",4.0,20.0,,,(212) 630-8831,Pier 81 West 41st Street And 12th Avenue,"New York City, NY 10036",10036,Moderate,,http://www.northriverlobsterco.com,http://yellowpages.com/new-york-city-ny/mip/north-river-lobster-company-509925830#open-menu,"From Business: North River Lobster Company is New York City’s only floating lobster shack, a New York institution since 2014. Located at Pier 81 on West 41st Street and the…",0
27,Seville Car & Limousine Service Corp,"['Restaurants', 'American Restaurants', 'Italian Restaurants']",4.5,8.0,,,(212) 447-7284,22 E 29th St Located Beneath Scarpetta Restaurant,"New York City, NY 10016",10016,Unknown,,http://www.thesevillenyc.com,,"From Business: The Seville is featuring a special pop-up, offering Scarpetta dinner for reservations only in a socially distanced space. Live music and DJ's Tuesday - Saturday,…",0
28,Angeletto Restaurant,"['Restaurants', 'Continental Restaurants', 'Italian Restaurants']",4.5,57.0,,,(212) 235-1227,890 2nd Ave 47 Street,"New York City, NY 10017",10017,Unknown,,http://www.angeletto.com,,"From Business: Vintage Northern Italian Restaurant, featuring homemade fresh pasta, traditional Roman dishes expertly prepared using the finest ingredients. Fine wines and…",0
29,Il Piccolo Ristoro,"['Restaurants', 'Italian Restaurants']",4.5,7.0,,,(212) 564-3337,508 W 28th St High Line Nine West Chelsea,"New York City, NY 10001",10001,Affordable,,http://www.ilpiccoloristoro.com,http://yellowpages.com/new-york-city-ny/mip/il-piccolo-ristoro-547681306#open-menu,"From Business: Piccolo means tiny place in Italian and Ristoro means to restore. So, a tiny place to restore yourself at any hour of the day it what we deserve you will find.…",1
30,Amata,"['Restaurants', 'Italian Restaurants']",4.5,58.0,,,(212) 308-0830,209 E 56th St Bet. 2nd & 3rd Aves,"New York City, NY 10022",10022,Upscale,,http://amatanyc.com,http://yellowpages.com/new-york-city-ny/mip/amata-505143105#open-menu,"From Business: AMATA is a vibrant yet cozy Italian restaurant serving delicious traditional Italian fare with a modern flair. Located in East Midtown of Manhattan, NYC, Amata…",0
31,Grand Banks,"['Restaurants', 'American Restaurants', 'Seafood Restaurants']",4.0,179.0,,,(212) 660-6312,Pier 25 Hudson River Park,"New York City, NY 10013",10013,Unknown,,http://www.grandbanks.nyc,,"From Business: Grand Banks is a celebrated oyster bar aboard the historic wooden schooner, Sherman Zwicker. Inspired by the floating oyster barges that lined Manhattan's…",0
32,Inside Park at St. Bart's,"['Restaurants', 'American Restaurants']",4.0,237.0,,,(212) 593-3333,109 East 50th St On Park Avenue,"New York City, NY 10022",10022,Upscale,,http://www.insideparknyc.com,http://yellowpages.com/new-york-city-ny/mip/inside-park-at-st-barts-480288565#open-menu,"From Business: Caf St. Bart s offers a wide range of dining services. It has various facilities, such as the Great Hall, outdoor restaurants and private dining areas. The…",0
33,Patsy's Pizzeria,"['Restaurants', 'Italian Restaurants', 'Pizza']",4.0,240.0,,,(212) 688-9707,206 E 60th St 2nd & 3rd Ave,"New York City, NY 10022",10022,Unknown,,https://www.patsyspizzerianyc.com/?y_source=1_MTAxNzI1MDUxNy03NjktbG9jYXRpb24ud2Vic2l0ZQ%3D%3D,,"From Business: In the early 1900's, working in the Salumerias of Little Italy, Pasquale ""Patsy"" Lancieri perfected New York Style Pizza. In 1933, he opened the city's first…",0
34,Burger and Lobster,"['Restaurants', 'Hamburgers & Hot Dogs', 'Seafood Restaurants']",4.5,1103.0,,,(646) 833-7532,39 W 19th St Between Fifth & 6th Avenues,"New York City, NY 10011",10011,Moderate,13.0,http://www.burgerandlobster.com,,From Business: We focus our energy on making two products the absolute best they can be without any other distractions. We’re obsessed with refining our techniques to…,0
35,Park Avenue Autumn/Winter/Spring/Summer,"['Restaurants', 'American Restaurants']",4.0,561.0,,,(212) 951-7111,360 Park Ave S. At 26th St,"New York City, NY 10010",10010,Upscale,,http://parkavenyc.com,,From Business: The historic Park Avenue Autumn/Winter/Spring/Summer that enjoyed a 22-year run on the Upper East Side has moved south to Gramercy Park under restaurateur…,0
36,Mexico Lindo Restaurant,"['Restaurants', 'Latin American Restaurants', 'Family Style Restaurants']",4.0,75.0,,,(212) 679-3665,459 2nd Ave Corner Of 26th Street,"New York City, NY 10010",10010,Unknown,52.0,http://www.mexicolindonyc.com,,From Business: Mexico Lindo Restaurant was opened in May of 1972 by Antonio & Leonor Bonilla. With Leonor's traditional Mexican upbringing and Antonio's restaurant experience;…,0
37,Bocce USQ,"['Restaurants', 'Italian Restaurants', 'Bars']",4.5,19.0,,,(212) 677-7818,20 Union Square W Union Square Park North,"New York City, NY 10003",10003,Unknown,,http://bocceunionsquare.com,http://yellowpages.com/new-york-city-ny/mip/bocce-usq-545321448#open-menu,"From Business: Bocce Union Square is the NYC backyard we never had but always wanted. Located in the heart of Union Square Park, it's a place for our neighbors to escape, be…",1
38,Three Owls Market,"['Restaurants', 'American Restaurants', 'Italian Restaurants']",2.5,3.0,,,(917) 810-4891,800 Washington St At The Corner Of Horatio Street,"New York City, NY 10014",10014,Unknown,,http://www.threeowlsmarket.com,,"From Business: Inspired by European markets as well as local New York delis, and housed in a historic space underneath the original High Line tracks, Three Owls Market is an…",1
39,BLT Prime,"['Restaurants', 'American Restaurants', 'Steak Houses']",4.0,33.0,,,(212) 995-8500,1032 Lexington Ave Bet. East 73rd And East 74th St,"New York City, NY 10021",10021,Unknown,,http://www.bltrestaurants.com/location/blt-prime-new-york,,From Business: BLT Prime's Upper East Side location has an expanded menu featuring signature BLT standouts such as a selection of USDA Prime and 100% Naturally Raised Certified…,0
40,The Spaniard,"['Restaurants', 'American Restaurants', 'Bars']",4.0,47.0,,,(212) 918-1986,190 W 4th St Closest Subways: West 4th Or Christopher St 1,"New York City, NY 10014",10014,Unknown,,http://www.thespaniardnyc.com,,"From Business: Opened in 2017, The Spaniard is a West Village bar serving fine food, strong drinks and plentiful whiskey, inspired by classic New York bars like Keens, Old Town…",0
41,Bar Pisellino,"['Restaurants', 'Italian Restaurants', 'Continental Restaurants']",4.0,21.0,,,(347) 859-7624,52 Grove Street At 7th Avenue South,"New York City, NY 10014",10014,Moderate,,http://www.barpisellino.com,http://yellowpages.com/new-york-city-ny/mip/bar-pisellino-549546811#open-menu,"From Business: Just off Christopher Park, in the heart of the West Village, award-winning chefs Rita Sodi and Jody Williams share the arte del bere at Bar Pisellino. Pisellino…",0
42,The Mary Lane,"['Restaurants', 'American Restaurants', 'Bars']",4.5,13.0,,,(212) 597-9099,99 Bank St. At The Corner Of Greenwich St.,"New York City, NY 10014",10014,Moderate,,https://www.themarylanenyc.com,http://yellowpages.com/new-york-city-ny/mip/the-mary-lane-563734875#open-menu,"From Business: Located on the cobblestone corner of Bank and Greenwich Streets in the West Village, The Mary Lane at 99 Bank St is a seasonal New American neighborhood…",0
43,Marcellino Restaurant,"['Restaurants', 'Pizza', 'Bars']",5.0,8.0,,,(646) 998-4576,178 Mulberry Street New York Ny Street Corner,"New York City, NY 10012",10012,Upscale,,https://marcellinorestaurant.com,http://yellowpages.com/new-york-city-ny/mip/marcellino-restaurant-549180984#open-menu,From Business: Wood-fired Italian cuisine made using family recipes is served in a classic space.Wood-fired Italian cuisine made using family recipes is served in a classic…,0
44,Tiramisu Restaurant,"['Restaurants', 'Italian Restaurants', 'Pizza']",4.0,77.0,,,(212) 988-9780,1643 2nd Ave. E 85th Street,"New York City, NY 10028",10028,Moderate,,http://tiramisunyc.com,http://yellowpages.com/new-york-city-ny/mip/tiramisu-restaurant-8294772#open-menu,From Business: Brick-oven pizzas and Tuscan staples in a family-friendly setting with seasonal outdoor seating. Open daily 12pm - 10pm . Saturday and Sunday Brunch 12pm -…,1
45,Sushi Dojo NYC Noodle House,"['Restaurants', 'Japanese Restaurants']",5.0,1.0,,,(212) 253-5311,38 Avenue B At The Corner Of 3rd Street,"New York City, NY 10009",10009,Moderate,,,http://yellowpages.com/new-york-city-ny/mip/sushi-dojo-nyc-noodle-house-533411488#open-menu,"From Business: Formally Dojo Izakaya, its been changed to Sushi Dojo NYC Noodle House specializing in Udon noodles and broth, and Ramen. WIth beer and saki, this intimate spot…",0
46,Local 138,"['Restaurants', 'Italian Restaurants', 'Greek Restaurants']",5.0,4.0,,,(212) 477-0280,244 Mulberry St Between Prince & Spring,"New York City, NY 10012",10012,Moderate,23.0,,http://yellowpages.com/new-york-city-ny/mip/local-138-491490#open-menu,"From Business: The Hidden jewel of Soho, Local 244 is a Mediterranean/Italian restaurant located at 244 Mulberry St between Prince and Spring St Ny,Ny 10012. We offer an…",1
47,Bella Luna,"['Restaurants', 'Continental Restaurants', 'Italian Restaurants']",4.0,173.0,,,(212) 877-2267,574 Columbus Ave Sw Corner Of 88th St And Columbus Ave,"New York City, NY 10024",10024,Moderate,,,http://yellowpages.com/new-york-city-ny/mip/bella-luna-15999956#open-menu,From Business: Bella Luna open since 1988 is a friendly neighborhood restaurant offering quality Northern Italian fare in a welcoming and comfortable atmosphere.Bella Luna open…,1
48,Bice Cucina Soho,"['Restaurants', 'Italian Restaurants']",1.0,1.0,,,(646) 609-6530,15 Watts Street New York,"New York City, NY 10013",10013,Upscale,,http://www.bicecucina.com,http://yellowpages.com/new-york-city-ny/mip/bice-cucina-soho-563436543#open-menu,"From Business: Bice Cucina specializes in delicious fine, Italian dining in Soho Manhattan. Established in 1926, Bice is among the busiest and most renowned Northern Italian…",0
49,Sal's Little Italy,"['Restaurants', 'Italian Restaurants', 'Pizza']",4.0,288.0,,,(212) 925-0440,384 Broome St Corner Of Mulberry Street,"New York City, NY 10013",10013,Moderate,47.0,,http://yellowpages.com/new-york-city-ny/mip/sals-little-italy-480198098#open-menu,"From Business: Since 1982, Sal's Little Italy has remained same family owned and operated and well known as the home of the famous deep fried calzone. Our family also proudly…",1
50,"Izzies Cheesesteaks, Lower East Side","['Restaurants', 'American Restaurants']",,,,,(646) 850-8636,47 Clinton St. Between Rivington & Stanton Streets.,"New York City, NY 10002",10002,Affordable,,http://www.izziesnyc.com,http://yellowpages.com/new-york-city-ny/mip/izzies-cheesesteaks-lower-east-side-545737339#open-menu,"From Business: Izzie's Cheesesteaks specializes in creating an authentic Philly inspired cheesesteak made in New York. Izzie's offers a variety of fan foods including burgers,…",1
51,Juicy Spot Cafe,"['Restaurants', 'American Restaurants', 'Caterers']",4.5,16.0,,,(212) 933-0478,109 Ludlow St Between Delancy And Rivington Street,"New York City, NY 10002",10002,Affordable,,http://www.juicyspotcafe.com,,"From Business: Experience fresh made ice cream rolls, right before your eyes! Large variety of fresh fruit options for your ice cream rolls, yogurt rolls, smoothies, Acai…",0
52,Casa D'Angelo,"['Restaurants', 'Italian Restaurants']",4.0,728.0,,,(212) 804-8656,146 Mulberry Street Between Hester & Grand Sts,"New York City, NY 10013",10013,Upscale,,http://www.cangelomulberry.com,http://yellowpages.com/new-york-city-ny/mip/casa-dangelo-567173110#open-menu,"From Business: Welcome to Casa D'Angelo authentic Italian restaurant in the heart of Little Italy, New York City! Our restaurant is a family-owned and operated establishment…",0
53,Buddha-Bar New York,"['Restaurants', 'Sushi Bars', 'Japanese Restaurants']",4.0,16.0,,,(212) 256-0360,62 Thomas St Thomas Street Between Church And West Broadway,"New York City, NY 10013",10013,Unknown,,http://www.buddhabarnewyork.com,,From Business: Buddha-Bar restaurant New York brings a cosmopolitan experience and energy to New York City’s downtown TriBeCa neighborhood with a fresh take on Asian Fusion…,0
54,Malibu Farm New York,"['Restaurants', 'American Restaurants', 'Bars']",3.5,31.0,,,(212) 265-3030,89 South St North Side Of Pier 17 In The Seaport,"New York City, NY 10038",10038,Upscale,,http://www.malibufarm.nyc,http://yellowpages.com/new-york-city-ny/mip/malibu-farm-new-york-553189263#open-menu,"From Business: Like all the best things in life, Malibu Farm started small and grew organically—just like the food we like to eat and serve. Our founder, Chef Helene Henderson,…",1
55,Wasabi Sushi & Bento,"['Restaurants', 'Sushi Bars', 'Caterers']",,,,,(917) 409-5238,200 Broadway The Fulton Center,"New York City, NY 10038",10038,Unknown,,https://wasabi.uk.com,,From Business: - Temporarily closed- Temporarily closed,0
56,Kuu,"['Restaurants', 'Japanese Restaurants', 'Asian Restaurants']",4.5,240.0,,,(212) 571-7177,20 John St Near Wall Street And Fulton St Subway,"New York City, NY 10038",10038,Moderate,,https://www.kuuramen.com,http://yellowpages.com/new-york-city-ny/mip/kuu-505341676#open-menu,"From Business: Well-known among New Yorkers, Kuu Ramen is a Japanese ramen restaurant serving ramen, curry rice, and many izakaya-style small plates located in the heart of the…",1
57,Thai Farm Kitchen Seaport,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",4.5,7.0,,,(212) 349-4433,21 Peck Slip Seaport,"New York City, NY 10038",10038,Moderate,,http://thaifarmkitchenseaport.com,http://yellowpages.com/new-york-city-ny/mip/thai-farm-kitchen-seaport-556543847#open-menu,"From Business: We have heated outdoor patios! Located in the historic district of South Street Seaport in Manhattan, on the corner of Peck Slip and Water Street, THAI Farm…",0
58,Fresh Salt,"['Restaurants', 'American Restaurants', 'Bars']",4.0,91.0,,,(212) 962-0053,146 Beekman St Frnt St,"New York City, NY 10038",10038,Unknown,,http://www.freshsalt.com/contact,,"From Business: Local bar with light food located in the heart of the South Street Seaport, happy hour everyday 4-8pm.Local bar with light food located in the heart of the South…",0
59,Wuish Kitchen & Bar,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",4.0,5.0,,,(212) 273-9296,6 Platt Stfinancial Distric Four Point Sheraton Hotel,"New York City, NY 10038",10038,Fine Dining,,http://goldenwuish.com,http://yellowpages.com/new-york-city-ny/mip/wuish-kitchen-bar-566265372#open-menu,From Business: Elegant Chinese restaurant situated in the heart of the Financial District in New York City. Gather around the table to enjoy banquet style Chinese cuisine and…,1
60,Spaha Soul,"['Restaurants', 'Soul Food Restaurants', 'Take Out Restaurants']",5.0,9.0,,,(347) 463-7387,2294 2nd Ave Between 117th-118th Street,"New York City, NY 10035",10035,Moderate,,http://www.spahasoul.com,http://yellowpages.com/new-york-city-ny/mip/spaha-soul-481582013#open-menu,From Business: SpaHa Soul is like dining in our house. Whether your in a large group or an intimate setting. We treat every guest like family. Southern Fusion with a very down…,1
61,De Tandoori Knight Corp,"['Restaurants', 'Indian Restaurants', 'Middle Eastern Restaurants']",,,,,(347) 763-0203,353 Broadway Brooklyn,"New York City, NY 11211",11211,Moderate,,http://www.detandooriknight.com,http://yellowpages.com/new-york-city-ny/mip/de-tandoori-knight-corp-569433931#open-menu,From Business: detandooriknight@gmail.comdetandooriknight@gmail.com,1
62,Loreto Italian Kitchen & Bar,"['Restaurants', 'Italian Restaurants', 'Bars']",4.0,11.0,,,(718) 554-1121,280 Ashland Pl Ground Floor,"New York City, NY 11217",11217,Unknown,,http://www.loretonyc.com,,"From Business: Loreto’s menu offers unique combinations of high quality and taste, respecting the centuries of Italian traditions. Here any gourmand will find their favorite…",0
63,Harbor Bar,"['Restaurants', 'Latin American Restaurants', 'Bar & Grills']",3.5,8.0,,,(917) 728-5712,1095 6th Ave Whole Foods,"New York City, NY 10036",10036,Unknown,,http://www.wholefoodsmarket.com/stores/bryantpark,,,0
64,Friedmans,"['Restaurants', 'American Restaurants']",4.0,467.0,,,(800) 637-7070,228 W 47th St Near Times Square / Theater District,"New York City, NY 10036",10036,Unknown,,http://www.friedmansrestaurant.com,,,0
65,Mala Project,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",4.0,21.0,,,(917) 261-7520,41 W 46th St Bryant Park,"New York City, NY 10036",10036,Unknown,,https://www.malaproject.com/hours-locations,,,0
66,Kitchen Paradise,"['Restaurants', 'Chinese Restaurants', 'Asian Restaurants']",3.5,2.0,,,(212) 719-1788,West 48th Street,"New York City, NY 10036",10036,Unknown,,,,,1
67,Zoob Zib,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",4.5,266.0,,,(212) 971-8530,460 9th Ave Between 35&36 St,"New York City, NY 10018",10018,Moderate,,,http://yellowpages.com/new-york-city-ny/mip/zoob-zib-505122332#open-menu,,0
68,Burgerology Midtown,"['Restaurants', 'Coffee Shops', 'American Restaurants']",4.0,19.0,,,(646) 386-0090,320 W 36th St Crowne Plaza Hotel Midtown,"New York City, NY 10018",10018,Unknown,,https://www.burgerologyusa.com,,,0
69,Shaking Crab,"['Restaurants', 'Seafood Restaurants']",5.0,2.0,,,(646) 755-8793,737 9th Ave Hell's Kitchen,"New York City, NY 10019",10019,Moderate,,https://shakingcrab.com,http://yellowpages.com/new-york-city-ny/mip/shaking-crab-554886065#open-menu,,1
70,Lumlum,"['Restaurants', 'Thai Restaurants', 'Asian Restaurants']",4.5,17.0,,,(646) 684-4618,404 W 49th St Between 9th And 10th Avenue,"New York City, NY 10019",10019,Unknown,,http://www.lumlumnyc.com,,,0
71,Seamore's Up Top,"['Restaurants', 'Seafood Restaurants']",5.0,1.0,,,(646) 747-0822,E. 45th St And Vanderbilt Ave Urbanspace Vanderbilt Mezzanine,"New York City, NY 10169",10169,Moderate,,http://seamores.com,http://yellowpages.com/new-york-city-ny/mip/seamores-up-top-546680918#open-menu,,0
72,In Room Dining,"['Restaurants', 'American Restaurants']",,,,,(212) 790-8867,28 W 53rd St At Baccarat Hotel New York 2nd Floor,"New York City, NY 10019",10019,Fine Dining,,https://www.baccarathotels.com,http://yellowpages.com/new-york-city-ny/mip/in-room-dining-564779908#open-menu,,0
